Prefix,Firstname,Lastname,Prefix_1,Firstname_1,Lastname_1,P-Levenschtein Distance,F-Levenschtein Distance,L-Levenschtein Distance,P-Jaccard,F-Jaccard,L-Jaccard,P-jaroWinkler,F-jaroWinkler,L-jaroWinkler,sum,Label
mlepine,mike,lpine,mikebk,mike,blakeknox,0.142857143,1,0.222222222,0.230769231,0.5,0.214285714,0.58,1,0,3.89013431,F
notdunnyet,charles,dunn,charles,charles,strahan,0.1,1,0.142857143,0.058823529,0.5,0.090909091,0.41,1,0,3.302589763,F
pdion,pierreluc,dion,dionmcmurtrie,mcmurtrie,dion,0.230769231,0.111111111,1,0.222222222,0.333333333,0.5,0.7,0.55,1,4.647435897,F
percy,percy,christian,crabl,rabl,christian,0,0,1,0.2,0.111111111,0.5,0,0.48,1,3.291111111,F
philipyarra,philip,yarra,georgiev,philip,georgiev,0,1,0.125,0.105263158,0.5,0.076923077,0,1,0.44,3.247186235,F
richardrose,richard,rose,rdermer,richard,dermer,0.181818182,1,0.166666667,0.277777778,0.5,0.2,0.61,1,0.44,4.376262626,F
thalbig,thomas,halbig,tmichelbach,thomas,michelbach,0.363636364,1,0.3,0.333333333,0.5,0.3125,0.63,1,0.52,4.959469697,F
thomasjohnson,thomas,johnson,tbaustert,thomas,baustert,0.153846154,1,0,0.136363636,0.5,0.066666667,0.57,1,0.42,3.846876457,F
ummmmm,doug,doug,dougkent,kent,doug,0.125,0,1,0.071428571,0,0.5,0.43,0,1,3.126428571,F
adamwhitney,adam,whitney,a,adam,fisk,0.090909091,1,0.142857143,0.083333333,0.5,0.090909091,0.73,1,0.46,4.098008658,F
chuisman,chris,huisman,chris,chris,dolan,0.5,1,0.285714286,0.307692308,0.5,0.166666667,0.81,1,0.56,5.13007326,F
csbubbles,maxim,novikov,solomax,maxim,solodovnik,0.111111111,1,0.3,0.125,0.5,0.352941176,0,1,0.58,3.969052288,F
cutting,doug,cutting,clido,doug,clifton,0.285714286,1,0.285714286,0.166666667,0.5,0.285714286,0.61,1,0.67,4.803809524,F
dlee,david,lee,xerces,david,balaic,0.166666667,1,0.166666667,0.2,0.5,0.111111111,0.61,1,0,3.754444444,F
dsmith,duncan,smith,ssmith,scott,smith,0.833333333,0,1,0.416666667,0.090909091,0.5,0.89,0.46,1,5.190909091,F
